ride_id,pickup_time,dropoff_time,pickup_location,dropoff_location,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,ride_duration,fare_amount,payment_method
3eb13b90-4668-4257-bdd6-40fb06671ad1,05-09-2024,26-09-2024,East Jill,New Roberttown,10.980119,78.858973,10.480389,78.204967,1,6,410.04,Wallet
06cb0fb3-9a1d-4644-815e-f6d13b8faa18,06-02-2024,30-04-2024,Lake Debra,Robinsonshire,12.821789,79.953637,10.810923,79.852152,3,20,244.04,Cash
b2b9437a-28df-4ec4-8e4a-2bbdc241330b,18-04-2024,20-04-2024,Petersonberg,Port Matthew,12.967323,79.384465,11.875409,79.630513,2,52,315.95,Cash
580d7b71-d8f5-4413-9be6-128e18c26797,06-02-2024,02-07-2024,Lindsaymouth,South Christianport,10.864517,79.31225,12.483189,78.143687,1,42,494.96,Card
5c941cf0-dc98-42c1-a2ac-f72f9e574f7a,18-11-2024,18-12-2024,Lake Chad,Port Keith,10.64536,79.291934,12.894883,78.47427,1,6,258.36,Cash
614ff3d7-19db-4ad0-9dd1-dfb23b982ef8,31-01-2024,28-12-2024,Shawnstad,West Michael,12.815369,79.49939,12.11999,78.545735,2,19,273.22,Wallet
a5e5a5ab-aefc-4ad8-afc8-9849b3aa7efe,17-09-2024,07-11-2024,New Cynthiaside,East Steven,11.712751,78.508115,12.100017,78.140091,1,40,305.33,Cash
af42e12f-3838-4326-8e94-4239b02b61c4,14-04-2024,18-12-2024,Meganton,Port Antonio,10.519737,78.161665,12.899631,78.066689,4,19,76.63,Card
e9c349e0-3602-48ac-90f1-bc81448aaa9e,02-05-2024,04-10-2024,Jasonfort,Wilkersonmouth,10.610345,78.834197,13.184695,78.71252,3,56,370.74,Cash
8fb5d27b-beb7-4919-bf22-faf823bed01d,25-02-2024,06-06-2024,Juliechester,Coxberg,12.049581,80.037797,10.658239,80.426117,,49,59.29,Card
dc713d96-0c0f-4195-817a-f08a1745d6d8,16-07-2024,19-10-2024,East Courtneychester,South Patrickmouth,11.055713,78.033635,10.10489,78.802445,3,22,228.67,Cash
f143262f-dc5c-4eed-8da0-365bf89897b9,24-07-2024,10-09-2024,Lake Jenniferside,Kaylamouth,13.471705,80.496688,13.001968,79.518625,2,53,262.51,Card
00d4af59-7427-4ca3-a87d-06ca6f4cc69a,13-02-2024,05-06-2024,Teresaburgh,Port Colleenhaven,13.327782,79.587418,10.477324,80.068573,1,10,54.79,Card
295b4715-c333-4861-9fb8-d16c2720797d,24-08-2024,01-10-2024,New Mariotown,West Natashaport,12.969806,80.216506,11.432953,80.428227,1,27,79.12,Card
f26b4776-913e-4de2-a0c5-3cb83da9c2a9,02-04-2024,24-04-2024,North Jessicaland,East Donna,12.841242,80.491455,11.674272,80.22828,3,56,395.15,Cash
9b49bd26-df57-459a-8715-a10343dac043,01-08-2024,02-09-2024,Brandtside,Lake Larry,12.643023,78.126087,12.794817,80.204143,4,39,290.01,Cash
7394988f-847f-49b4-a64d-1bcb702753a1,17-09-2024,28-11-2024,East Jeffreymouth,New Angelashire,13.316459,79.289257,10.518855,79.487153,4,10,324.8,Wallet
0f1259e0-a18f-46b6-b535-106e122c9a56,26-03-2024,28-03-2024,North Rebecca,Chadbury,12.886389,,13.042603,79.692996,3,58,445.26,Wallet
b92da22b-21df-406f-8a0b-3c3336d8393a,18-04-2024,23-10-2024,Sanchezfort,Leeville,12.509541,80.326732,11.476264,78.989367,3,41,442.33,Cash
778eedb3-693d-4fbc-ac6f-a6115ab33edf,12-09-2024,04-12-2024,Lake Deniseville,South Jessicaville,10.250335,79.686563,11.982715,78.116685,1,7,264.95,Wallet
